Title,RQ1 Year,RQ2 Venue,RQ3 VenueType,RQ3 PaperType,RQ4 MDETask,RQ4 SubCategoryOfModelGeneration,RQ5 SEActivity,RQ5 SETask,RQ6 ModelingLanguage,RQ6 ModelType,RQ7 ApplicationDomain,RQ8 FoundationLLMFamiliy,RQ9 Prompt-engineering,RQ10 EnhancementTechnique,RQ10 EnhancedLLM,RQ11 Integration,RQ12 InteractionPattern,RQ13 EffectivenessMetric,RQ13 TimeCostMetric,RQ13 ResourceCostMetric,RQ14 Baseline,RQ15 EvaluationSubjectType,RQ15 SourceCodeLink,RQ15 PromptLink,RQ15 EnhancedLLMLink,RQ15 EvaluationSubjectLink
Toward Automated UML Diagram Assessment: Comparing LLM-Generated Scores with Teaching Assistants,2025,International Conference on Computer Supported Education,Conference,Proposed method,Model analysis,N/A,Software Engineering Models and Methods,N/A,UML,Class,Education,[LLaMA; GPT; Claude],Few-shot,No,N/A,No,No,No,No,No,Deep learning,Closed,No,No,N/A,No
TARGET: Traffic Rule-based Test Generation for Autonomous Driving Systems,2025,IEEE Transactions on Software Engineering,Journal,Proposed method,Model-based test generation,N/A,Software Testing,Test Design and Implementation,DSL,DSM,ADS,[GPT; LLaMA],Few-shot+Role+Self-Refine,No,N/A,No,No,Accuracy[Sem; Correctness; True; Quant; obj],No,Monetary cost,Search-based,Open,https://zenodo.org/records/14346539,No,N/A,https://docs.google.com/document/d/1Xyr6hDOQb-ooNnwY71yE5w3pOiZpmD-7n17DfqyzAy8/edit?tab=t.0
Towards Using LLMs in the Reverse Engineering of Software Systems to Object Constraint Language,2025,"IEEE International Conference on Software Analysis, Evolution and Reengineering",Conference,Proposed method,Model-driven reverse engineering,N/A,Software Maintenance,Reverse Engineering,OCL,Constraint,General,Mistral,Unspecified,Fine-tuning,Mistral,No,No,Precision[Sem; Correctness; True; Quant; obj]; Recall[Sem; Completeness; True; Quant; obj]; F-measure[Sem; Correctness+Completeness; True; Quant; obj],No,No,LLM-based,Open,No,No,No,https://zenodo.org/records/13962243
Evaluating Multi-Modal LLMs for Automatically Recognizing Semantic Elements in UML Use Case Diagram Images,2025,"IEEE International Conference on Software Analysis, Evolution and Reengineering",Conference,Benchmarking and evaluation,Model recognition,N/A,Software Engineering Models and Methods,N/A,UML,Use Case,General,GPT,Zero-shot+Role+Prompt Chaining,No,N/A,No,No,Precision[Sem; Correctness; True; Quant; obj]; Recall[Sem; Completeness; True; Quant; obj]; F-measure[Sem; Correctness+Completeness; True; Quant; obj]; # of correct models[Sem; Correctness; True; Quant; obj],No,No,No,Closed,No,No,N/A,No
Evaluating Large Language Models in Exercises of UML Use Case Diagrams Modeling,2025,International Workshop on Natural Language-Based Software Engineering,Workshop,Benchmarking and evaluation,Model generation,Standard language每based modeling,Software Requirements,Requirement Specification,UML,Use Case,General,GPT,Zero-shot,No,N/A,No,No,% of covered elements[Sem; Completeness; True; Quant; obj]; % of hallucinated elements[Sem; Hallucination; True; Quant; obj],No,No,No,Open,No,No,N/A,https://figshare.com/s/e25110a77c8b9922d9b9
SMATCH-M-LLM: Semantic Similarity in Metamodel Matching With Large Language Models,2025,International Conference on Mining Software Repositories,Conference,Proposed method,Model matching,N/A,Software Engineering Models and Methods,N/A,UML,Class,General,GPT,Zero-shot,No,N/A,PlantUML,No,No,No,Token consumption,[Rule-based; LLM-based; Search-based; Hybrid],Closed,No,No,N/A,No
Business Process Modeling Notation-Large Language Model: Transforming Business Processing Modeling Notation Models Into Smart Contracts Using Large Language Models,2025,IEEE Software,Journal,Proposed method,Model-based code generation,N/A,Software Construction,Coding,BPMN,Process,General,[GPT; Gemini],Few-shot+Structured Chain-of-thought,No,N/A,No,No,No,No,Monetary cost,No,Closed,No,No,N/A,No
Metamodeling for network experimentation: ABEP of SC diversity with L branches under the combined effects of Rayleigh fading and BX co-channel interference (CCI) in WCN case study,2025,International Symposium INFOTEH-JAHORINA,Conference,Proposed method,Model generation,Standard language每based modeling,Unspecified context,N/A,Ecore; UML,DSM; Class; Object,Network,[GPT; LLaMA; DeepSeek],Iterative(Human),RAG,[GPT; LLaMA; DeepSeek],[PlantUML; Eclipse Modeling Framework],Feedback-based refinement,# of correct elements[Sem; Correctness; True; Quant; obj],No,No,No,Closed,No,No,N/A,No
Harnessing ChatGPT for Model Transformation in Software Architecture: From UML State Diagrams to Rebeca Models for Formal Verification,2025,International Conference on Software Architecture Companion,Workshop,Proposed method,Model transformation,N/A,Software Engineering Models and Methods,N/A,UML; Rebeca,State Machine; Rebecca,General,GPT,Few-shot,No,N/A,PlantUML,No,# of correct elements[Sem; Correctness; True; Quant; obj]; # of neutral additional elements[Sem; Correctness; True; Quant; obj]; # of enhanced elements[Sem; Correctness; True; Quant; obj]; # of misplaced elements[Sem; Correctness; True; Quant; obj]; # of missing elements[Sem; Completeness; True; Quant; obj]; # of syntactic errors[Syn; Correctness; False; Quant; obj],No,No,No,Open,No,No,N/A,https://github.com/gnowin/UML-To-Rebecca-Dataset
Towards LLM-Powered Consistency in Model-Based Low-Code Platforms,2025,International Conference on Software Architecture Companion,Workshop,Proposed method,Model generation; Model analysis,Domain-specifc modeling,Software Engineering Models and Methods,N/A,DSL,DSM,General,GPT,Unspecified,No,N/A,No,No,No,No,No,No,Closed,No,No,N/A,No
