Author,Title,Year,DOI,Link,Type,Venue,
Ma S.-P.; You W.-L.; Wang S.-K.,Using Model Transformation to Generate Chatbots for Web APIs,2025,10.6688/JISE.202501_41(1).0008,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85215587087&doi=10.6688%2fJISE.202501_41%281%29.0008&partnerID=40&md5=69e9e73d99db796d27b4c4de5544fabf,Article,Journal of Information Science and Engineering,
Bouali N.; Gerhold M.; Ul Rehman T.; Ahmed F.,Toward Automated UML Diagram Assessment: Comparing LLM-Generated Scores with Teaching Assistants,2025,10.5220/0013481900003932,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105003631506&doi=10.5220%2f0013481900003932&partnerID=40&md5=952799e5e58857e0aae2ce4738848a1e,Conference paper,"International Conference on Computer Supported Education, CSEDU - Proceedings",
Paviot T.; Fortineau V.; Lamouri S.,Iterative Diagnosis-Driven Augmented Generation (IDDAG) for Programmatic 3D CAD,2025,10.5220/0013443500003896,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105001860357&doi=10.5220%2f0013443500003896&partnerID=40&md5=6de53d6214de3fb1ffa412df908d1dac,Conference paper,International Conference on Model-Driven Engineering and Software Development,
Bourdon J.; Rodriguez J.; Lesigne Q.; Suchet P.; Fister B.; Montagne L.; Malhomme O.; Benmiloud-Bechet L.; Plana R.,Transforming Systems Engineering in Nuclear Projects with Generative AI: A Path to Efficiency and Compliance,2025,10.5220/0013443400003896,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105001806916&doi=10.5220%2f0013443400003896&partnerID=40&md5=46c5cd44ed1ebb19a25a13075f24729b,Conference paper,International Conference on Model-Driven Engineering and Software Development,
Gauthier J.-M.; Jenn E.; Conejo R.,Ontology-Driven LLM Assistance for Task-Oriented Systems Engineering,2025,10.5220/0013441100003896,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105001852863&doi=10.5220%2f0013441100003896&partnerID=40&md5=3d596802f8de45f83c4d765ce65e0ad4,Conference paper,International Conference on Model-Driven Engineering and Software Development,
Nagaraja N.; Bahsi H.,Cyber Threat Modeling of an LLM-Based Healthcare System,2025,10.5220/0013289700003899,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105001849110&doi=10.5220%2f0013289700003899&partnerID=40&md5=66161ef429559a8b7c05e955a6010da6,Conference paper,International Conference on Information Systems Security and Privacy,
Ceravola A.; Joublin F.; Sadik A.R.; Bolder B.; Tolvanen J.-P.,HyperGraphOS: A Meta Operating System for Science and Engineering,2025,10.5220/0013164900003896,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105001881186&doi=10.5220%2f0013164900003896&partnerID=40&md5=a698be9e5cfb9ffb84c4e07ef59e40bf,Conference paper,International Conference on Model-Driven Engineering and Software Development,
Kop C.,"Evaluating the Quality of Class Diagrams Created by a Generative AI: Findings, Guidelines and Automation Options",2025,10.5220/0013103000003896,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105001840107&doi=10.5220%2f0013103000003896&partnerID=40&md5=1ce602500e9fe443d2e0219f5f25afc0,Conference paper,International Conference on Model-Driven Engineering and Software Development,
Huo T.; Feng T.; Yang F.; Huang Y.; Zheng H.; Wang B.; Fang T.; Wu Z.; Zhang Z.,Transforming Hydrogen Supply at Hydrogen Refueling Stations: Design and Analysis of LOHC for Auxiliary Hydrogen Supply,2025,10.4271/2025-01-7101,https://www.scopus.com/inward/record.uri?eid=2-s2.0-86000024813&doi=10.4271%2f2025-01-7101&partnerID=40&md5=487c94d009931d5347c612c5284445ea,Conference paper,SAE Technical Papers,
Dhekane S.; Khandare A.,Applied Machine Learning in EEG data Classification to Classify Major Depressive Disorder by Critical Channels,2025,10.35882/jeeemi.v7i3.719,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105005708771&doi=10.35882%2fjeeemi.v7i3.719&partnerID=40&md5=3bc4d17f3071731a325fcde14120ff79,Article,"Journal of Electronics, Electromedical Engineering, and Medical Informatics",
Becerra-Encinales J.F.; Rodr¨ªguez-Ortega J.D.; Cooman A.P.; Reyes L.H.; Cruz J.C.,A Systemic Approach to Sustainable Technological Extension: A Dynamic Model for Oil Palm Cultivation in Colombia,2025,10.3390/su17104706,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105006738930&doi=10.3390%2fsu17104706&partnerID=40&md5=dcf6ea7884095e3f63766b7fcb9f267f,Article,Sustainability (Switzerland),
Shilov N.; Ponomarev A.; Ryumin D.; Karpov A.,Generative Adversarial Framework with Composite Discriminator for Organization and Process Modelling¡ªSmart City Cases,2025,10.3390/smartcities8020038,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105003450196&doi=10.3390%2fsmartcities8020038&partnerID=40&md5=0c8f7a796751732d429cdae54b68d62f,Article,Smart Cities,
Alti A.; Lakehal A.,AI-MDD-UX: Revolutionizing E-Commerce User Experience with Generative AI and Model-Driven Development,2025,10.3390/fi17040180,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105003444725&doi=10.3390%2ffi17040180&partnerID=40&md5=680f06b0305a755e2211919130eabd6e,Article,Future Internet,
Zhang Z.; Sun Y.; Peng Q.; Li T.; Zhou P.,Integrating Dynamical Systems Modeling with Spatiotemporal scRNA-Seq Data Analysis,2025,10.3390/e27050453,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105006495826&doi=10.3390%2fe27050453&partnerID=40&md5=d8b6e9ba42c93483784786c03b96546b,Review,Entropy,
